id,gobblegum_id,tip,sort_order
120,40,"Combine with Wall Power for an instant Pack-A-Punched Legendary weapon, and add Perkaholic for a huge early-game power spike.",3
121,41,"Use when you want a silly, lighthearted match—this Gum alters visuals but not gameplay.",1
122,41,Great for casual maps or chill sessions where you want some comic relief.,2
123,42,Use for a humorous match—adds silly sound and visual effects without changing gameplay.,1
124,42,Great for casual runs or when you want to lighten the mood with some goofy zombie deaths.,2
125,43,Use when you want a colorful and silly visual effect while slaying zombies.,1
126,43,Perfect for casual or relaxed matches where you just want fun visual flair.,2
127,44,Use when you want comedic relief—the zombies look ridiculous with floaty duck tubes.,1
128,44,Perfect for fun runs or when streaming for entertainment value.,2
129,45,"Adds lighthearted comedy by giving zombies squeaky, high-pitched voices.",1
130,45,Great for relaxed sessions or streams where you want funny audio moments.,2
131,46,Use during casual matches to bring goofy festive decorations to the zombie horde.,1
132,46,Great for holiday-themed sessions or anytime you want cheerful visual fun.,2
