id,camo_id,criteria_order,criteria_text,weapon_id
66,41,1,Get 1000 Critical Kills,1
67,42,1,Unlock all Zombies Military Camos for the M15 Mod 0,1
68,42,2,Get 300 Hipfire Kills,1
69,43,1,Unlock all Zombies Military Camos Camos,1
70,43,2,Get 3 Critical Kills consecutively 5 times,1
71,44,1,Unlock all Zombies Military Camos,1
72,44,2,Get 300 Kills with Fire Works activations,1
73,45,1,Unlock all Zombies Special Camos,1
74,45,2,Get 10 Kills rapidly 15 times,1
75,46,1,Unlock Golden Dragon Camo,1
76,46,2,Unlock Golden Dragon Camo on 6 Assault Rifles,1
77,46,3,Get 20 or more consecutive Kills without taking damage 5 times,1
78,47,1,Unlock Bloodstone Camo,1
79,47,2,Unlock Bloodstone Camo on 30 Weapons,1
80,47,3,Eliminate 10 Elite Zombies,1
81,48,1,Unlock Doomsteel Camo,1
82,48,2,Unlock Doomsteel Camo on 2 Weapons,1
83,55,1,Reach Max Level with the MXR-17,3
84,55,2,Enter Weapon Prestige 1,3
85,56,1,Reach Max Level with the MXR-17,3
86,56,2,Enter Weapon Prestige 2,3
87,51,1,Reach Weapon Prestige Master Level 100 with the MXR-17,3
88,52,1,Reach Weapon Prestige Master Level 150 with the MXR-17,3
89,53,1,Reach Weapon Prestige Master Level 200 with the MXR-17,3
90,57,1,Reach Weapon Prestige Master Level 250 with the MXR-17,3
91,1,1,Get 25 Critical Kills,3
92,2,1,Get 50 Critical Kills,3
93,3,1,Get 100 Critical Kills,3
94,4,1,Get 150 Critical Kills,3
95,5,1,Get 200 Critical Kills,3
96,6,1,Get 250 Critical Kills,3
97,7,1,Get 300 Critical Kills,3
98,8,1,Get 400 Critical Kills,3
99,9,1,Get 500 Critical Kills,3
100,10,1,Unlock all Co-Op Campaign Military Camos,3
101,10,2,With 8 Attachments equipped: Get 100 Eliminations,3
102,11,1,Unlock all Co-Op Campaign Camos,3
103,11,2,Get 100 eliminations with the MXR-17 at Rare Rarity or higher,3
104,12,1,Unlock all Co-Op Campaign Camos,3
105,12,2,Get 3 Kills rapidly 10 times,3
106,13,1,Unlock all Co-Op Campaign Special Camos,3
107,13,2,Eliminate 20 Special enemies,3
108,14,1,Unlock Molten Gold Camo,3
109,14,2,Unlock Molten Gold Camo on 6 Assault Rifles,3
110,14,3,In Endgame: Eliminate 100 Zone III or Zone IV enemies with the MXR-17,3
111,15,1,Unlock Moonstone Camo,3
112,15,2,Unlock Moonstone Camo on 30 Weapons,3
113,15,3,Eliminate 10 Elite enemies with the MXR-17,3
114,16,1,Unlock Chroma Flux Camo,3
115,16,2,Unlock Chroma Flux Camo on 30 Weapons,3
116,17,1,Get 5 Headshots,3
117,18,1,Get 10 Headshots,3
118,19,1,Get 20 Headshots,3
119,20,1,Get 30 Headshots,3
120,21,1,Get 40 Headshots,3
121,22,1,Get 50 Headshots,3
122,23,1,Get 60 Headshots,3
123,24,1,Get 70 Headshots,3
124,25,1,Get 80 Headshots,3
125,26,1,Unlock all Multiplayer Military Camos,3
126,26,2,With 5 or more Attachments: Get 50 eliminations,3
127,27,1,Unlock all Multiplayer Military Camos Camos,3
128,27,2,Get 30 Kills while or shortly after sprinting,3
129,28,1,Unlock all Multiplayer Military Camos,3
130,28,2,With an Underbarrel Launcher Attachment equipped: Get 20 Kills,3
131,29,1,Unlock all Multiplayer Special Camos,3
132,29,2,Get 3 Kills without dying 10 times,3
133,30,1,Unlock Shattered Gold Camo,3
134,30,2,Unlock Shattered Gold Camo on 6 Assault Rifles,3
135,30,3,Get 10 Double Kills or better,3
136,31,1,Unlock Arclight Camo,3
137,31,2,Unlock Arclight Camo on 30 Weapons,3
138,31,3,Get 5 Kills without dying 3 times,3
139,32,1,Unlock Tempest Camo,3
140,32,2,Unlock Tempest Camo on 30 Weapons,3
141,33,1,Get 50 Critical Kills,3
142,34,1,Get 100 Critical Kills,3
143,35,1,Get 200 Critical Kills,3
144,36,1,Get 300 Critical Kills,3
145,37,1,Get 400 Critical Kills,3
146,38,1,Get 500 Critical Kills,3
147,39,1,Get 650 Critical Kills,3
148,40,1,Get 800 Critical Kills,3
149,41,1,Get 1000 Critical Kills,3
150,42,1,Unlock all Zombies Military Camos,3
151,42,2,Get 5 Critical Kills rapidly 15 times,3
152,43,1,Unlock all Zombies Military Camos Camos,3
153,43,2,Get 10 Kills without reloading 15 times,3
154,44,1,Unlock all Zombies Military Camos,3
155,44,2,With the Cryo Freeze Ammo Mod equipped: get 300 Eliminations,3
156,45,1,Unlock all Zombies Special Camos,3
157,45,2,Get 10 Kills rapidly 15 times,3
158,46,1,Unlock Golden Dragon Camo,3
159,46,2,Unlock Golden Dragon Camo on 6 Assault Rifles,3
160,46,3,Get 20 or more consecutive Kills without taking damage 5 times,3
161,47,1,Unlock Bloodstone Camo,3
162,47,2,Unlock Bloodstone Camo on 30 Weapons,3
163,47,3,Eliminate 10 Elite Zombies,3
164,48,1,Unlock Doomsteel Camo,3
165,48,2,Unlock Doomsteel Camo on 30 Weapons,3
166,58,1,Reach Max Level with the Peacekeeper MK1,4
167,58,2,Enter Weapon Prestige 1,4
168,59,1,Reach Max Level with the Peacekeeper MK1,4
169,59,2,Enter Weapon Prestige 2,4
170,51,1,Reach Weapon Prestige Master Level 100 with the Peacekeeper MK1,4
171,52,1,Reach Weapon Prestige Master Level 150 with the Peacekeeper MK1,4
172,53,1,Reach Weapon Prestige Master Level 200 with the Peacekeeper MK1,4
173,60,1,Reach Weapon Prestige Master Level 250 with the Peacekeeper MK1,4
174,1,1,Get 25 Critical Kills,4
175,2,1,Get 50 Critical Kills,4
176,3,1,Get 100 Critical Kills,4
177,4,1,Get 150 Critical Kills,4
178,5,1,Get 200 Critical Kills,4
179,6,1,Get 250 Critical Kills,4
180,7,1,Get 300 Critical Kills,4
181,8,1,Get 400 Critical Kills,4
182,9,1,Get 500 Critical Kills,4
183,10,1,Unlock all Co-Op Campaign Military Camos,4
184,10,2,Get 10 Kills without reloading 10 times,4
185,11,1,Unlock all Co-Op Campaign Camos,4
186,11,2,Get 50 Guild Tech enemies,4
187,12,1,Unlock all Co-Op Campaign Camos,4
188,12,2,Get 25 Kills shortly after sliding diving,4
189,13,1,Unlock all Co-Op Campaign Special Camos,4
190,13,2,Eliminate 20 Special enemies,4
191,14,1,Unlock Molten Gold Camo,4
192,14,2,Unlock Molten Gold Camo on 6 Assault Rifles,4
193,14,3,In Endgame: Eliminate 100 Zone III or Zone IV enemies,4
194,15,1,Unlock Moonstone Camo,4
195,15,2,Unlock Moonstone Camo on 30 Weapons,4
196,15,3,Eliminate 10 Elite enemies,4
197,16,1,Unlock Chroma Flux Camo,4
198,16,2,Unlock Chroma Flux Camo on 30 Weapons,4
199,17,1,Get 5 Headshots,4
200,18,1,Get 10 Headshots,4
201,19,1,Get 20 Headshots,4
202,20,1,Get 30 Headshots,4
203,21,1,Get 40 Headshots,4
204,22,1,Get 50 Headshots,4
205,23,1,Get 60 Headshots,4
206,24,1,Get 70 Headshots,4
207,25,1,Get 80 Headshots,4
208,26,1,Unlock all Multiplayer Military Camos,4
209,26,2,With 5 or more Attachments: Get 50 eliminations,4
210,27,1,Unlock all Multiplayer Military Camos Camos,4
211,27,2,Get a Kill without taking any damage 30 times,4
212,28,1,Unlock all Multiplayer Military Camos,4
213,28,2,With an Underbarrel Launcher Attachment equipped: Get 20 Kills,4
214,29,1,Unlock all Multiplayer Special Camos,4
215,29,2,Get 3 Kills without dying 10 times,4
216,30,1,Unlock Shattered Gold Camo,4
217,30,2,Unlock Shattered Gold Camo on 6 Assault Rifles,4
218,30,3,Get 10 Double Kills or better,4
219,31,1,Unlock Arclight Camo,4
220,31,2,Unlock Arclight Camo on 30 Weapons,4
221,31,3,Get 5 Kills without dying 3 times,4
222,32,1,Unlock Tempest Camo,4
223,32,2,Unlock Tempest Camo on 30 Weapons,4
224,33,1,Get 50 Critical Kills,4
225,34,1,Get 100 Critical Kills,4
226,35,1,Get 200 Critical Kills,4
227,36,1,Get 300 Critical Kills,4
228,37,1,Get 400 Critical Kills,4
229,38,1,Get 500 Critical Kills,4
230,39,1,Get 650 Critical Kills,4
231,40,1,Get 800 Critical Kills,4
232,41,1,Get 1000 Critical Kills,4
233,42,1,Unlock all Zombies Military Camos,4
234,42,2,Get 300 Eliminations at Rare Rarity or higher,4
235,43,1,Unlock all Zombies Military Camos Camos,4
236,43,2,Get 100 Kills shortly after using a Field Upgrade,4
237,44,1,Unlock all Zombies Military Camos,4
238,44,2,Kill 100 enemies affected by your Tactical Equipment,4
239,45,1,Unlock all Zombies Special Camos,4
240,45,2,Get 10 Kills rapidly 15 times,4
241,46,1,Unlock Golden Dragon Camo,4
242,46,2,Unlock Golden Dragon Camo on 1 Assault Rifle,4
243,46,3,Get 20 or more consecutive Kills without taking damage 5 times,4
244,47,1,Unlock Bloodstone Camo,4
245,47,2,Unlock Bloodstone Camo on 30 Weapons,4
246,47,3,Eliminate 10 Elite Zombies,4
247,48,1,Unlock Doomsteel Camo,4
248,48,2,Unlock Doomsteel Camo on 30 Weapons,4
249,61,1,Reach Max Level with the X9 Maverick,6
250,61,2,Enter Weapon Prestige 1,6
251,62,1,Reach Max Level with the X9 Maverick,6
252,62,2,Enter Weapon Prestige 2,6
253,51,1,Reach Weapon Prestige Master Level 100 with the X9 Maverick,6
254,52,1,Reach Weapon Prestige Master Level 150 with the X9 Maverick,6
255,53,1,Reach Weapon Prestige Master Level 200 with the X9 Maverick,6
256,63,1,Reach Weapon Prestige Master Level 250 with the X9 Maverick,6
257,1,1,Get 25 Critical Kills,6
258,2,1,Get 50 Critical Kills,6
259,3,1,Get 100 Critical Kills,6
260,4,1,Get 150 Critical Kills,6
261,5,1,Get 200 Critical Kills,6
262,6,1,Get 250 Critical Kills,6
263,7,1,Get 300 Critical Kills,6
264,8,1,Get 400 Critical Kills,6
265,9,1,Get 500 Critical Kills,6
266,10,1,Unlock all Co-Op Campaign Military Camos,6
267,10,2,Get 3 Kills rapidly,6
268,11,1,Unlock all Co-Op Campaign Camos,6
269,11,2,With the Tactical Laser equipped: get 50 Kills in the Tactical Stance,6
270,12,1,Unlock all Co-Op Campaign Camos,6
271,12,2,Get 50 Kills while Aiming Down Sights and moving,6
272,13,1,Unlock all Co-Op Campaign Special Camos,6
273,13,2,Eliminate 20 Special enemies,6
274,14,1,Unlock Molten Gold Camo,6
275,14,2,Unlock Molten Gold Camo on 6 Assault Rifles,6
276,14,3,In Endgame: eliminate 100 Zone III or Zone IV enemies,6
277,15,1,Unlock Moonstone Camo,6
278,15,2,Unlock Moonstone Camo on 30 Weapons,6
279,15,3,Eliminate 10 Elite enemies,6
280,16,1,Unlock Chroma Flux Camo,6
281,16,2,Unlock Chroma Flux Camo on 30 Weapons,6
282,17,1,Get 5 Headshots,6
283,18,1,Get 10 Headshots,6
284,19,1,Get 20 Headshots,6
285,20,1,Get 30 Headshots,6
286,21,1,Get 40 Headshots,6
287,22,1,Get 50 Headshots,6
288,23,1,Get 60 Headshots,6
289,24,1,Get 70 Headshots,6
290,25,1,Get 80 Headshots,6
291,26,1,Unlock all Multiplayer Military Camos,6
292,26,2,Kill 30 enemies affected by your Tactical Equipment,6
293,27,1,Unlock all Multiplayer Military Camos,6
294,27,2,Get 50 Eliminations without and Attachments equipped,6
295,28,1,Unlock all Multiplayer Military Camos,6
296,28,2,Get a Kill without taking damage 30 times,6
297,29,1,Unlock all Multiplayer Special Camos,6
298,29,2,Get 3 Kills without dying 10 times,6
299,30,1,Unlock Shattered Gold Camo,6
300,30,2,Unlock Shattered Gold Camo on 6 Assault Rifles,6
301,30,3,Get 10 Double Kills or better,6
302,31,1,Unlock Arclight Camo,6
303,31,2,Unlock Arclight Camo on 30 Weapons,6
304,31,3,Get 5 Kills without dying 3 times,6
305,32,1,Unlock Tempest Camo,6
306,32,2,Unlock Tempest Camo on 30 Weapons,6
307,33,1,Get 50 Critical Kills,6
308,34,1,Get 100 Critical Kills,6
309,35,1,Get 200 Critical Kills,6
310,36,1,Get 300 Critical Kills,6
311,37,1,Get 400 Critical Kills,6
312,38,1,Get 500 Critical Kills,6
313,39,1,Get 650 Critical Kills,6
314,40,1,Get 800 Critical Kills,6
315,41,1,Get 1000 Critical Kills,6
316,42,1,Unlock all Zombies Military Camos,6
317,42,2,Get 75 Kills with Shadow Rift activations,6
318,43,1,Unlock all Zombies Military Camos Camos,6
319,43,2,Get 300 Eliminations while it's Pack-A-Punched,6
320,44,1,Unlock all Zombies Military Camos,6
321,44,2,Get 75 Armored Zombie Eliminations,6
322,45,1,Unlock all Zombies Special Camos,6
323,45,2,Get 10 Kills rapidly 15 times,6
324,46,1,Unlock Golden Dragon Camo,6
325,46,2,Unlock Golden Dragon Camo on 6 Assault Rifles,6
326,46,3,Get 20 or more consecutive Kills without taking damage 5 times,6
327,47,1,Unlock Bloodstone Camo,6
328,47,2,Unlock Bloodstone Camo on 30 Weapons,6
329,47,3,Eliminate 10 Elite Zombies,6
330,48,1,Unlock Doomsteel Camo,6
331,48,2,Unlock Doomsteel Camo on 30 Weapons,6
332,64,1,Reach Max Level with the DS20 Mirage,5
333,64,2,Enter Weapon Prestige 1,5
334,65,1,Reach Max Level with the DS20 Mirage,5
335,65,2,Enter Weapon Prestige 2,5
336,51,1,Reach Weapon Prestige Master Level 100 with the DS20 Mirage,5
337,52,1,Reach Weapon Prestige Master Level 150 with the DS20 Mirage,5
338,53,1,Reach Weapon Prestige Master Level 200 with the DS20 Mirage,5
339,66,1,Reach Weapon Prestige Master Level 250 with the DS20 Mirage,5
340,1,1,Get 25 Critical Kills,5
341,2,1,Get 50 Critical Kills,5
342,3,1,Get 100 Critical Kills,5
343,4,1,Get 150 Critical Kills,5
344,5,1,Get 200 Critical Kills,5
345,6,1,Get 250 Critical Kills,5
346,7,1,Get 300 Critical Kills,5
347,8,1,Get 400 Critical Kills,5
348,9,1,Get 500 Critical Kills,5
349,10,1,Unlock all Co-Op Campaign Military Camos,5
350,10,2,Get 3 Kills rapidly 10 times,5
351,11,1,Unlock all Co-Op Campaign Camos,5
352,11,2,Get 25 Kills shortly after sliding,5
353,12,1,Unlock all Co-Op Campaign Camos,5
354,12,2,With an Extended Magazine Attachment equipped: Get 100 Eliminations,5
355,13,1,Unlock all Co-Op Campaign Special Camos,5
356,13,2,Eliminate 20 Special enemies,5
357,14,1,Unlock Molten Gold Camo,5
358,14,2,Unlock Molten Gold Camo on 6 Assault Rifles,5
359,14,3,In Endgame: eliminate 100 Zone III or Zone IV enemies,5
360,15,1,Unlock Moonstone Camo,5
361,15,2,Unlock Moonstone Camo on 30 Weapons,5
362,15,3,Eliminate 10 Elite enemies,5
363,16,1,Unlock Chroma Flux Camo,5
364,16,2,Unlock Chroma Flux Camo on 30 Weapons,5
365,17,1,Get 5 Headshots,5
366,18,1,Get 10 Headshots,5
367,19,1,Get 20 Headshots,5
368,20,1,Get 30 Headshots,5
369,21,1,Get 40 Headshots,5
370,22,1,Get 50 Headshots,5
371,23,1,Get 60 Headshots,5
372,24,1,Get 70 Headshots,5
373,25,1,Get 80 Headshots,5
374,26,1,Unlock all Multiplayer Military Camos,5
375,26,2,With a 4.0x or higher magnification scope equipped: Get 50 Eliminations,5
376,27,1,Unlock all Multiplayer Military Camos Camos,5
377,27,2,With a Suppressor equipped: Get 50 Eliminations,5
378,28,1,Unlock all Multiplayer Military Camos,5
379,28,2,With Gunfighter Wildcard equipped: Get 50 Eliminations with the DS20 Mirage while it has 8 Attachments,5
380,29,1,Unlock all Multiplayer Special Camos,5
381,29,2,Get 3 Kills without dying 10 times,5
382,30,1,Unlock Shattered Gold Camo,5
383,30,2,Unlock Shattered Gold Camo on 6 Assault Rifles,5
384,30,3,Get 10 Double Kills or better,5
385,31,1,Unlock Arclight Camo,5
386,31,2,Unlock Arclight Camo on 30 Weapons,5
387,31,3,Get 5 Kills without dying 3 times,5
388,32,1,Unlock Tempest Camo,5
389,32,2,Unlock Tempest Camo on 30 Weapons,5
390,33,1,Get 50 Critical Kills,5
391,34,1,Get 100 Critical Kills,5
392,35,1,Get 200 Critical Kills,5
393,36,1,Get 300 Critical Kills,5
394,37,1,Get 400 Critical Kills,5
395,38,1,Get 500 Critical Kills,5
396,39,1,Get 650 Critical Kills,5
397,40,1,Get 800 Critical Kills,5
398,41,1,Get 1000 Critical Kills,5
399,42,1,Unlock all Zombies Military Camos,5
400,42,2,Get 10 Kills without taking damage 10 times,5
401,43,1,Unlock all Zombies Military Camos Camos,5
402,43,2,With Tier 2 or higher Armor equipped: Get 150 Eliminations,5
403,44,1,Unlock all Zombies Military Camos,5
404,44,2,With Dead Wire Ammo Mod equipped: Get 5 Eliminations,5
405,45,1,Unlock all Zombies Special Camos,5
406,45,2,Get 10 Kills rapidly 15 times,5
407,46,1,Unlock Golden Dragon Camo,5
408,46,2,Unlock Golden Dragon Camo on 6 Assault Rifles,5
409,46,3,Get 20 or more consecutive Kills without taking damage 5 times,5
410,47,1,Unlock Bloodstone Camo,5
411,47,2,Unlock Bloodstone Camo on 30 Weapons,5
412,47,3,Eliminate 10 Elite Zombies,5
413,48,1,Unlock Doomsteel Camo,5
414,48,2,Unlock Doomsteel Camo on 30 Weapons,5
415,67,1,Reach Max Level with the AK-27,2
416,67,2,Enter Weapon Prestige 1,2
417,68,1,Reach Max Level with the AK-27,2
418,68,2,Enter Weapon Prestige 2,2
419,51,1,Reach Weapon Prestige Master Level 100 with the AK-27,2
420,52,1,Reach Weapon Prestige Master Level 150 with the AK-27,2
421,53,1,Reach Weapon Prestige Master Level 200 with the AK-27,2
422,69,1,Reach Weapon Prestige Master Level 250 with the AK-27,2
423,1,1,Get 25 Critical Kills,2
424,2,1,Get 50 Critical Kills,2
425,3,1,Get 100 Critical Kills,2
426,4,1,Get 150 Critical Kills,2
427,5,1,Get 200 Critical Kills,2
428,6,1,Get 250 Critical Kills,2
429,7,1,Get 300 Critical Kills,2
430,8,1,Get 400 Critical Kills,2
431,9,1,Get 500 Critical Kills,2
432,10,1,Unlock all Co-Op Campaign Military Camos,2
433,10,2,Get 50 Kills shortly after sprinting,2
434,11,1,Unlock all Co-Op Campaign Camos,2
435,11,2,Get 50 Kills while Aiming Down Sights,2
436,12,1,Unlock all Co-Op Campaign Camos,2
437,12,2,Eliminate 100 Human (NPC) enemies,2
438,13,1,Unlock all Co-Op Campaign Special Camos,2
439,13,2,Eliminate 20 Special enemies,2
440,14,1,Unlock Molten Gold Camo,2
441,14,2,Unlock Molten Gold Camo on 6 Assault Rifles,2
442,14,3,In Endgame: eliminate 100 Zone III or Zone IV enemies,2
443,15,1,Unlock Moonstone Camo,2
444,15,2,Unlock Moonstone Camo on 30 Weapons,2
445,15,3,Eliminate 10 Elite enemies,2
446,16,1,Unlock Chroma Flux Camo,2
447,16,2,Unlock Chroma Flux Camo on 30 Weapons,2
448,17,1,Get 5 Headshots,2
449,18,1,Get 10 Headshots,2
450,19,1,Get 20 Headshots,2
451,20,1,Get 30 Headshots,2
452,21,1,Get 40 Headshots,2
453,22,1,Get 50 Headshots,2
454,23,1,Get 60 Headshots,2
455,24,1,Get 70 Headshots,2
456,25,1,Get 80 Headshots,2
457,26,1,Unlock all Multiplayer Military Camos,2
458,26,2,Get 30 Hipfire Kills,2
459,27,1,Unlock all Multiplayer Military Camos Camos,2
460,27,2,Get 2 Kills without reloading 10 times,2
461,28,1,Unlock all Multiplayer Military Camos,2
462,28,2,Get 20 Kills with an Underbarrel Launcher Attachment equipped,2
463,29,1,Unlock all Multiplayer Special Camos,2
464,29,2,Get 3 Kills without dying 10 times,2
465,30,1,Unlock Shattered Gold Camo,2
466,30,2,Unlock Shattered Gold Camo on 6 Assault Rifles,2
467,30,3,Get 10 Double Kills or better,2
468,31,1,Unlock Arclight Camo,2
469,31,2,Unlock Arclight Camo on 30 Weapons,2
470,31,3,Get 5 Kills without dying 3 times,2
471,32,1,Unlock Tempest Camo,2
472,32,2,Unlock Tempest Camo on 30 Weapons,2
473,33,1,Get 50 Critical Kills,2
474,34,1,Get 100 Critical Kills,2
475,35,1,Get 200 Critical Kills,2
476,36,1,Get 300 Critical Kills,2
477,37,1,Get 400 Critical Kills,2
478,38,1,Get 500 Critical Kills,2
479,39,1,Get 650 Critical Kills,2
480,40,1,Get 800 Critical Kills,2
481,41,1,Get 1000 Critical Kills,2
482,42,1,Unlock all Zombies Military Camos,2
483,42,2,Get 2 Critical Kills with a single shot 15 times,2
484,43,1,Unlock all Zombies Military Camos Camos,2
485,43,2,With the Napalm Burst Ammo Mod equipped: Get 300 Eliminations,2
486,44,1,Unlock all Zombies Military Camos,2
487,44,2,Get 10 Kills without taking damage 5 times,2
488,45,1,Unlock all Zombies Special Camos,2
489,45,2,Get 10 Kills rapidly 15 times,2
490,46,1,Unlock Golden Dragon Camo,2
491,46,2,Unlock Golden Dragon Camo on 6 Assault Rifles,2
492,46,3,Get 20 or more consecutive Kills without taking damage 5 times,2
493,47,1,Unlock Bloodstone Camo,2
494,47,2,Unlock Bloodstone Camo on 30 Weapons,2
495,47,3,Eliminate 10 Elite Zombies,2
496,48,1,Unlock Doomsteel Camo,2
497,48,2,Unlock Doomsteel Camo on 30 Weapons,2
498,70,1,Reach Max Level with the Ryden 45K,7
499,70,2,Enter Weapon Prestige 1,7
500,71,1,Reach Max Level with the Ryden 45K,7
501,71,2,Enter Weapon Prestige 2,7
502,51,1,Reach Weapon Prestige Master Level 100 with the Ryden 45K,7
503,52,1,Reach Weapon Prestige Master Level 150 with the Ryden 45K,7
504,53,1,Reach Weapon Prestige Master Level 200 with the Ryden 45K,7
505,72,1,Reach Weapon Prestige Master Level 250 with the Ryden 45K,7
506,1,1,Get 10 Critical Kills,7
507,2,1,Get 25 Critical Kills,7
508,3,1,Get 50 Critical Kills,7
509,4,1,Get 75 Critical Kills,7
510,5,1,Get 100 Critical Kills,7
511,6,1,Get 125 Critical Kills,7
512,7,1,Get 150 Critical Kills,7
513,8,1,Get 200 Critical Kills,7
514,9,1,Get 250 Critical Kills,7
515,10,1,Unlock all Co-Op Campaign Military Camos,7
516,10,2,With 8 Attachments equipped: get 100 Eliminations,7
517,11,1,Unlock all Co-Op Campaign Camos,7
518,11,2,With a Extended Magazine Attachment equipped: get 100 Eliminations,7
519,12,1,Unlock all Co-Op Campaign Camos,7
520,12,2,Get 50 Point Blank Kills,7
521,13,1,Unlock all Co-Op Campaign Special Camos,7
522,13,2,Eliminate 20 Special enemies,7
523,14,1,Unlock Molten Gold Camo,7
524,14,2,Unlock Molten Gold Camo on 6 SMGs,7
525,14,3,In Endgame: eliminate 100 Zone III or Zone IV enemies,7
526,15,1,Unlock Moonstone Camo,7
527,15,2,Unlock Moonstone Camo on 30 Weapons,7
528,15,3,Eliminate 10 Elite enemies,7
529,16,1,Unlock Chroma Flux Camo,7
530,16,2,Unlock Chroma Flux Camo on 30 Weapons,7
531,17,1,Get 5 Headshots,7
532,18,1,Get 10 Headshots,7
533,19,1,Get 20 Headshots,7
534,20,1,Get 30 Headshots,7
535,21,1,Get 40 Headshots,7
536,22,1,Get 50 Headshots,7
537,23,1,Get 60 Headshots,7
538,24,1,Get 70 Headshots,7
539,25,1,Get 80 Headshots,7
540,26,1,Unlock all Multiplayer Military Camos,7
541,26,2,Get 50 Eliminations without any Attachments equipped,7
542,27,1,Unlock all Multiplayer Military Camos Camos,7
543,27,2,Get 30 Kills while or shortly after sprinting,7
544,28,1,Unlock all Multiplayer Military Camos,7
545,28,2,Get a Kill without taking damage 30 times,7
546,29,1,Unlock all Multiplayer Special Camos,7
547,29,2,Get 3 Kills without dying 10 times,7
548,30,1,Unlock Shattered Gold Camo,7
549,30,2,Unlock Shattered Gold Camo on 6 SMGs,7
550,30,3,Get 10 Double Kills or better,7
551,31,1,Unlock Arclight Camo,7
552,31,2,Unlock Arclight Camo on 30 Weapons,7
553,31,3,Get 5 Kills without dying 3 times,7
554,32,1,Unlock Tempest Camo,7
555,32,2,Unlock Tempest Camo on 30 Weapons,7
556,33,1,Get 100 Critical Kills,7
557,34,1,Get 200 Critical Kills,7
558,35,1,Get 300 Critical Kills,7
559,36,1,Get 400 Critical Kills,7
560,37,1,Get 500 Critical Kills,7
561,38,1,Get 600 Critical Kills,7
562,39,1,Get 700 Critical Kills,7
563,40,1,Get 800 Critical Kills,7
564,41,1,Get 1000 Critical Kills,7
565,42,1,Unlock all Zombies Military Camos,7
566,42,2,With Dead Wire Ammo Mod equipped: get 300 Eliminations,7
567,43,1,Unlock all Zombies Military Camos Camos,7
568,43,2,Get 5 Critical Kills rapidly 15 times,7
